               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.026759,             0.01103,            0.011001,             0.74773,             0.85714,             0.88436,               0.549,             0.02123,           0.0036981,            0.016345,             0.00307,             0.00307,             0.00307
                 107,            0.026647,            0.010213,            0.009968,             0.75574,             0.85714,             0.88647,             0.54417,            0.019736,           0.0037288,            0.016168,            0.003004,            0.003004,            0.003004
                 108,            0.026798,            0.010731,            0.014137,             0.75469,             0.85714,              0.9028,             0.53891,            0.018788,           0.0038238,            0.014703,            0.002938,            0.002938,            0.002938
                 109,            0.027862,           0.0089427,            0.011884,             0.71785,             0.85714,             0.91163,             0.54958,            0.021415,           0.0037819,            0.014087,            0.002872,            0.002872,            0.002872
                 110,             0.03065,            0.012787,            0.010952,             0.70962,             0.90065,             0.88029,             0.54932,            0.019768,            0.003831,            0.013354,            0.002806,            0.002806,            0.002806
                 111,            0.036957,            0.011508,            0.016659,             0.75204,             0.85714,             0.88639,              0.5496,            0.019417,           0.0038649,            0.011578,             0.00274,             0.00274,             0.00274
                 112,            0.030246,           0.0099573,            0.010229,             0.87384,              0.9025,               0.984,             0.60268,            0.019754,           0.0037085,            0.010208,            0.002674,            0.002674,            0.002674
                 113,            0.028664,            0.011745,            0.010497,              0.9032,                   1,               0.995,             0.59286,            0.019127,           0.0036191,           0.0087616,            0.002608,            0.002608,            0.002608
                 114,            0.028423,            0.010926,            0.012556,             0.90622,                   1,               0.995,             0.62942,            0.019648,             0.00352,           0.0084381,            0.002542,            0.002542,            0.002542
                 115,            0.023596,            0.010982,           0.0094212,             0.97557,                   1,               0.995,             0.64412,            0.018709,           0.0034652,           0.0069946,            0.002476,            0.002476,            0.002476
                 116,            0.027751,           0.0094312,            0.012109,             0.97398,                   1,               0.995,             0.59941,            0.019768,           0.0034676,           0.0067627,             0.00241,             0.00241,             0.00241
                 117,            0.028307,            0.010676,            0.017132,             0.96721,                   1,               0.995,             0.64536,            0.018442,           0.0034958,           0.0069489,            0.002344,            0.002344,            0.002344
                 118,            0.027754,            0.011648,             0.01408,             0.97857,             0.98793,               0.995,             0.64076,            0.018216,           0.0035474,            0.007428,            0.002278,            0.002278,            0.002278
                 119,            0.025734,            0.011691,            0.010885,              0.9768,              0.9924,               0.995,             0.63598,            0.018484,           0.0035441,           0.0071381,            0.002212,            0.002212,            0.002212
                 120,            0.031494,            0.011524,             0.01003,             0.92108,                   1,               0.995,             0.63385,            0.018153,           0.0035425,           0.0059235,            0.002146,            0.002146,            0.002146
                 121,            0.029135,            0.010966,            0.011968,             0.91729,             0.99236,               0.995,              0.6411,             0.01761,           0.0034958,           0.0054596,             0.00208,             0.00208,             0.00208
                 122,            0.024704,            0.011691,            0.008119,             0.90951,             0.98949,               0.995,             0.64112,            0.016888,           0.0035022,           0.0050217,            0.002014,            0.002014,            0.002014
                 123,            0.029032,             0.01084,           0.0091115,             0.92112,             0.99247,               0.995,             0.62204,            0.017976,           0.0035724,           0.0046204,            0.001948,            0.001948,            0.001948
                 124,            0.026748,            0.011857,            0.011637,             0.92465,             0.99515,               0.995,             0.62815,            0.017503,           0.0036449,           0.0040665,            0.001882,            0.001882,            0.001882
                 125,            0.028858,              0.0122,            0.010287,             0.92051,                   1,               0.995,             0.62946,            0.018411,           0.0036828,           0.0039024,            0.001816,            0.001816,            0.001816
                 126,            0.022891,              0.0126,           0.0055843,              0.9047,                   1,               0.995,             0.63097,            0.018311,           0.0037351,           0.0038605,             0.00175,             0.00175,             0.00175
                 127,            0.028577,             0.01291,              0.0104,             0.96697,                   1,               0.995,             0.62204,            0.018228,           0.0037077,           0.0034241,            0.001684,            0.001684,            0.001684
                 128,            0.026428,            0.009172,           0.0065284,             0.98507,                   1,               0.995,             0.64024,            0.018704,           0.0036505,           0.0033424,            0.001618,            0.001618,            0.001618
                 129,            0.024246,            0.010462,           0.0066634,             0.97966,                   1,               0.995,             0.63148,            0.018053,             0.00369,           0.0040939,            0.001552,            0.001552,            0.001552
                 130,             0.02482,             0.01021,           0.0061068,             0.96044,                   1,               0.995,             0.60132,            0.019155,           0.0037496,           0.0052536,            0.001486,            0.001486,            0.001486
                 131,            0.025566,            0.011155,           0.0089961,             0.84804,                   1,              0.9895,             0.63293,            0.018948,           0.0038069,           0.0072083,             0.00142,             0.00142,             0.00142
                 132,            0.027968,           0.0096916,           0.0085114,             0.81415,             0.98597,               0.985,             0.60241,             0.01896,           0.0038109,           0.0098694,            0.001354,            0.001354,            0.001354
                 133,            0.024502,             0.01082,           0.0068109,             0.80754,             0.97861,             0.97889,             0.60043,            0.019266,           0.0037327,            0.010898,            0.001288,            0.001288,            0.001288
                 134,            0.024227,           0.0091358,           0.0082569,             0.75883,             0.92857,             0.94806,             0.60016,            0.018581,           0.0036997,            0.014343,            0.001222,            0.001222,            0.001222
                 135,            0.027623,            0.012088,           0.0089383,             0.71312,             0.92886,             0.94806,             0.58888,            0.018817,           0.0037214,            0.016217,            0.001156,            0.001156,            0.001156
                 136,            0.026691,            0.011257,           0.0074486,             0.75732,             0.92857,             0.94806,             0.59291,            0.018636,           0.0037174,            0.016345,             0.00109,             0.00109,             0.00109
                 137,            0.027755,            0.012071,           0.0063861,             0.80221,             0.89886,             0.88401,             0.61438,              0.0185,           0.0037367,            0.016895,            0.001024,            0.001024,            0.001024
                 138,            0.022334,            0.010041,           0.0056486,             0.78153,             0.92857,             0.95099,              0.5957,            0.019264,            0.003794,            0.017542,            0.000958,            0.000958,            0.000958
                 139,            0.025629,            0.011117,            0.019196,              0.7911,             0.92857,             0.95099,             0.59279,            0.019296,           0.0038215,            0.017993,            0.000892,            0.000892,            0.000892
                 140,             0.02222,             0.01065,           0.0080908,             0.77506,             0.92857,             0.95099,             0.60725,            0.018842,           0.0038215,            0.018097,            0.000826,            0.000826,            0.000826
                 141,            0.021444,            0.010874,           0.0081734,             0.77455,             0.92857,             0.95099,             0.59724,            0.019027,            0.003836,              0.0177,             0.00076,             0.00076,             0.00076
                 142,             0.02261,           0.0097271,           0.0088299,             0.77089,             0.92857,             0.95099,             0.57792,            0.019209,           0.0038368,            0.016815,            0.000694,            0.000694,            0.000694
                 143,            0.019778,           0.0086133,           0.0048348,             0.80609,             0.96686,             0.96585,             0.59477,            0.018828,           0.0038239,            0.015793,            0.000628,            0.000628,            0.000628
                 144,            0.026199,            0.010026,            0.010967,             0.81037,             0.97725,             0.97514,             0.61037,            0.018754,           0.0038343,            0.014417,            0.000562,            0.000562,            0.000562
                 145,            0.022126,           0.0088359,           0.0083958,             0.81329,             0.97968,             0.97514,             0.59676,            0.018786,           0.0038423,            0.013989,            0.000496,            0.000496,            0.000496
                 146,            0.024096,            0.011088,           0.0061512,             0.82126,             0.98562,             0.97514,             0.59674,            0.019068,           0.0038697,            0.012476,             0.00043,             0.00043,             0.00043
                 147,            0.021423,           0.0098163,           0.0093989,             0.82508,             0.98824,             0.98125,             0.60451,            0.019062,           0.0038866,            0.011758,            0.000364,            0.000364,            0.000364
                 148,            0.021812,            0.008719,           0.0094498,             0.82535,             0.98992,             0.98125,             0.60448,             0.01913,            0.003898,            0.011737,            0.000298,            0.000298,            0.000298
                 149,            0.024915,            0.011797,           0.0090766,             0.82682,             0.99436,               0.985,             0.61033,             0.01909,           0.0039198,            0.011728,            0.000232,            0.000232,            0.000232
